Doping,Doping concentration,Al_thick,%Al,Ion (mA/mm),GMmax (mS/mm),Vth(V)
0,2.00E+17,0.025,0.25,284.757,86.66,-3.955
0,2.00E+17,0.025,0.27,323.664,91.556,-4.416
0,2.00E+17,0.025,0.29,359.244,95.98,-4.88
0,2.00E+17,0.025,0.31,387.976,99.876,-5.346
0,2.00E+17,0.027,0.15,96.3066,56.6,-2
0,2.00E+17,0.027,0.17,132.762,64.024,-2.471
0,2.00E+17,0.027,0.19,174.181,69.752,-2.946
0,2.00E+17,0.027,0.21,218.27,74.908,-3.424
0,2.00E+17,0.027,0.23,260.922,79.98,-3.907
0,2.00E+17,0.027,0.25,300.055,84.868,-4.394
0,2.00E+17,0.027,0.27,336.386,89.44,-4.886
0,2.00E+17,0.027,0.29,370.071,93.668,-5.384
0,2.00E+17,0.027,0.31,396.419,97.468,-5.888
0,2.00E+17,0.029,0.15,109.337,56.9428,-2.262
0,2.00E+17,0.029,0.17,148.747,63.128,-2.761
0,2.00E+17,0.029,0.19,192.015,68.444,-3.267
0,2.00E+17,0.029,0.21,234.998,73.56,-3.78
0,2.00E+17,0.029,0.23,274.512,78.42,-4.3
0,2.00E+17,0.029,0.25,311.247,83.048,-4.826
0,2.00E+17,0.029,0.27,345.919,87.428,-5.356
0,2.00E+17,0.029,0.29,378.365,91.52,-5.891
0,2.00E+17,0.029,0.31,402.904,95.216,-6.428
0,4.00E+17,0.015,0.15,25.13655,63.08,-0.536
0,4.00E+17,0.015,0.17,39.74365,69.764,-0.801
0,4.00E+17,0.015,0.19,57.86775,76.252,-1.068
0,4.00E+17,0.015,0.21,79.52615,82.544,-1.337
0,4.00E+17,0.015,0.23,104.7226,88.632,-1.607
0,4.00E+17,0.015,0.25,133.407,94.488,-1.879
0,4.00E+17,0.015,0.27,165.443,100.076,-2.152
0,4.00E+17,0.015,0.29,200.542,105.296,-2.427
0,4.00E+17,0.015,0.31,238.0535,109.878,-2.702
0,4.00E+17,0.017,0.15,36.5097,61.776,-0.8
0,4.00E+17,0.017,0.17,54.95275,68.2,-1.101
0,4.00E+17,0.017,0.19,77.28705,74.444,-1.399
0,4.00E+17,0.017,0.21,103.52935,80.492,-1.695
0,4.00E+17,0.017,0.23,133.6465,86.328,-1.989
0,4.00E+17,0.017,0.25,167.518,91.924,-2.309
0,4.00E+17,0.017,0.27,204.808,97.096,-2.625
